Olivia Johnson, ["doesn't respect their parents", 'takes good care of their pet', 'did volunteer work', "didn't pay for the public transportation", 'lied to a friend', 'swears a lot', 'loves their family', 'is always late', 'listened to their partner', 'stole money', 'cut the line', 'got too drunk', 'smoked in a restaurant toilet', "respected others' opinions", 'used renewable energies'], -3, ['style', 'electronic devices']
Liam Williams, ['bought Christmas presents for orphans', 'takes good care of their pet', "didn't pay for the public transportation", 'planted a tree', 'helped a stranger', 'gave money to a charity', 'stole money', 'pees outside the bowl', "didn't silence the cellphone in a cinema", 'kept their home clean', "respected others' opinions", 'loves their family', "ate someone else's office food from the fridge", 'donated money to Wikipedia', 'likes hawaii pizza'], 3, ['style', 'electronic devices']
Emma Brown, ['listened to their partner', 'got too drunk', "didn't silence the cellphone in a cinema", 'loves their family', 'helped a stranger', 'threw garbage on the street', 'did volunteer work', 'used renewable energies', 'is always late', 'swears a lot', 'smoked in a restaurant toilet', "doesn't respect their parents", 'kept their home clean', 'cut the line', 'lied to a friend'], -3, ['style', 'electronic devices']
Noah Jones, ['smoked in a restaurant toilet', 'loves their family', 'cut the line', 'stole money', "doesn't respect their parents", 'donated money to Wikipedia', 'listened to their partner', 'is always late', 'used renewable energies', 'swears a lot', 'got too drunk', "didn't silence the cellphone in a cinema", 'gave money to a charity', 'threw garbage on the street', 'helped a stranger'], -3, ['style', 'electronic devices']
Amelia Garcia, ['loves their family', 'did volunteer work', 'cut the line', "didn't pay for the public transportation", "doesn't give tips", 'bought Christmas presents for orphans', 'smoked in a restaurant toilet', "ate someone else's office food from the fridge", 'swears a lot', "didn't silence the cellphone in a cinema", "respected others' opinions", 'kept their home clean', 'helped a stranger', 'brought food to their friends', 'listened to their partner'], 1, ['style', 'electronic devices']
Oliver Miller, ['stole money', "doesn't give tips", 'brought food to their friends', 'helped a friend', 'pees outside the bowl', 'gave money to a charity', "didn't pay for the public transportation", "respected others' opinions", 'smoked in a restaurant toilet', 'helped a stranger', 'takes good care of their pet', 'used renewable energies', 'donated money to Wikipedia', 'loves their family', 'cut the line'], 3, ['style', 'electronic devices']
Ava Davis, ['helped a stranger', 'lied to a friend', 'kept their home clean', 'gave money to a charity', 'helped a grandma to cross the street', 'smoked in a restaurant toilet', 'got too drunk', "doesn't respect their parents", 'cut the line', 'loves their family', "respected others' opinions", 'threw garbage on the street', 'brought food to their friends', 'donated money to Wikipedia', 'listened to their partner'], 3, ['style', 'electronic devices']
Elijah Rodriguez, ["ate someone else's office food from the fridge", 'kept their home clean', 'stole money', 'swears a lot', 'bought Christmas presents for orphans', 'used renewable energies', 'loves their family', 'threw garbage on the street', 'donated money to Wikipedia', "didn't pay for the public transportation", "doesn't give tips", 'likes hawaii pizza', 'planted a tree', 'lied to a friend', 'takes good care of their pet'], -1, ['style', 'electronic devices']
Sophia Martinez, ['helped a grandma to cross the street', 'did volunteer work', 'bought Christmas presents for orphans', 'got too drunk', 'swears a lot', 'lied to a friend', 'kept their home clean', 'pees outside the bowl', "doesn't give tips", 'takes good care of their pet', 'planted a tree', 'donated money to Wikipedia', "respected others' opinions", "didn't silence the cellphone in a cinema", 'threw garbage on the street'], 1, ['style', 'electronic devices']
Lucas Hernandez, ['stole money', 'used renewable energies', 'is always late', 'likes hawaii pizza', 'helped a friend', 'kept their home clean', "ate someone else's office food from the fridge", 'swears a lot', "respected others' opinions", 'helped a stranger', 'helped a grandma to cross the street', 'bought Christmas presents for orphans', "didn't pay for the public transportation", 'cut the line', "didn't silence the cellphone in a cinema"], -1, ['style', 'electronic devices']
